feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,cluster
2.840844532901837,-7.050583598169749,-3.7786764035674647,-3.189220791754482,-2.2074670481130187,6.106120879659876,-7.65724687881637,0.03080837447820467,2.601236870376826,-8.917473556901616,2
-10.096600025144454,8.446463715967598,6.149376504237856,-5.900838072559156,-6.847296387488558,-8.09636264861058,-3.1975021832995396,1.515028665667735,-0.8398820340860805,-5.085565732379015,1
-10.622120270168447,9.949963287436042,6.246472999567361,-5.542428014169629,-6.1281213526471925,-6.519436043184381,-4.542167673278363,-0.0573042092082503,-2.0940531595426792,-4.840874962623517,1
-10.466204769260804,8.216657101214365,6.057355690041207,-4.799698318903618,-5.603487992922271,-6.137506025287804,-5.1413155887211905,0.3381041115344078,-1.1197396200362968,-4.034988212376283,1
1.546497931521607,-6.671106849929112,-7.541412823184825,8.44904335641855,8.054249255832898,5.325909208833133,-3.112285555182488,-7.842772809968154,3.5815586272921345,-1.6042251694572287,3
1.7845968001483976,-7.587175363880057,-3.582373090518324,-2.7989607207113543,-1.3919337717635865,7.035800761959098,-6.691460229362206,0.3131416274986274,2.370136298529034,-10.376059833933704,2
2.525352867171479,-7.938638856705155,-3.14025476849001,-3.456812975598657,-2.1728408067115503,6.008141684952315,-6.660450864364278,0.541721944878143,-0.0746435036395745,-7.957026992413591,2
-10.562136267860335,9.52576704868319,5.934622803614928,-5.3423262150496,-6.335729656855938,-7.906713173681767,-3.3911746734318937,1.1437675491181252,-2.156189767025568,-3.839263961723168,1
2.8841933099617654,-7.677687020439514,-4.756593180833859,-2.8499924121931564,-1.820170005875255,7.159954354213726,-6.459640029804584,0.9499821972165554,2.015867444159068,-9.85861898598562,2
-2.078192829095655,8.277747253734828,4.775367495456964,0.8421980864167478,-6.96860804023023,-7.603235706447778,-9.426751710707823,8.312397455667053,2.8953483313395907,4.64876205264665,0
1.1046757859106378,-6.865600803709522,-8.66371808636913,7.5090957401249945,10.423572277573173,6.281849292337594,-3.6026423488683585,-6.9541365498513095,3.18054626612926,-0.737716580500749,3
2.6645498133566967,-7.137247901954432,-4.838339013119092,-2.6677446091786314,-2.103828567854195,6.62373314457891,-6.170751572429807,1.1795287236764933,1.4270660275640155,-9.489852536325312,2
-2.0032714318083333,9.792329687899706,5.137326806001859,0.7169899080283668,-7.461336931811165,-7.07812450171715,-8.897874499916048,7.820060593539246,2.1644610356107785,3.093176068952828,0
2.8629432240091344,-7.075326657523037,-8.859129143734705,10.097093105123594,10.543954538139708,7.425865530545483,-4.133425238079716,-7.061995395884745,2.925498268028195,-1.9224724249856218,3
-8.586036006541963,9.039617350199766,6.095052552595718,-7.328356300367344,-6.280750152411502,-4.698248970816328,-3.693268371237505,0.4773054492977866,-1.1034337785440969,-4.184290799198043,1
3.7244306080353695,-6.620832747828843,-7.6991998041469545,8.132513088566458,10.17281789443672,7.005768089176792,-3.2169747923806837,-8.059008190968557,1.3212613772495123,-1.7103318401296765,3
-10.785533518156015,8.878177895714368,6.582102440176147,-6.912933962193301,-7.100988506358238,-7.135075700596523,-3.7493412772900903,0.5506041022737576,-1.9384896698274878,-4.033960498327643,1
-10.743393966990784,7.561252280730096,6.208423336415169,-6.729787727165804,-6.770012813975836,-6.450134057985301,-4.277753868027657,1.6571026602213537,-1.0997038154758292,-3.9350377083504986,1
1.4809724577763732,-8.275028817955034,-9.838134630052496,9.120534080843049,7.741011831008848,4.983030382631849,-3.9096197494388334,-8.481443236746763,5.278289839010585,0.2701671116115274,3
-1.3482827368167167,9.781702789066488,6.362424802237347,1.3592916336302925,-6.1817706817747275,-6.733435988685265,-7.086485410061872,6.676884287214582,1.3505227611195547,3.681937439565691,0
